"FOLDER AND CATALOG NAME","FILE NAME FILTER TO FIND THE SOFTWARE","CATEGORY","DESCRIPTION","DISPLAY NAME","DEVELOPER NAME OR URL","DEFAULT INSTALL SECTION","MIN OS X","MAX OS X","REQUIRES","UPDATE_FOR","RestartAction","UNINSTALLABLE","OPTIONS for installer (value:name)","NOT CHECK this sub packages (name1 name2)","INSTALLCHECK_SCRIPT","UNINSTALL FILE","ALLOW UNTRUSTED PKGS","NEW VERSION NUMBER","EXTRA_XML_OPTIONS","ALLOWED GROUPS","REMARKS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"munki","munki_force_daily_updates","management","Install all (downloaded) Munki updates daily at 20:00 automatically. PLEASE NOTE: This will also install updates of software which is currently running on the computer. Better you save your files before and restart the mac after the updates.","daily auto update Munki software","https://github.com/munki/munki/wiki/managedsoftwareupdate","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"munki","munki_force_weekly_update","management","Install all (downloaded) Munki updates on Thursday at 23:00 automatically. PLEASE NOTE: This will also install updates of software which is currently running on the computer. Better you save your files before and restart the mac after the updates.","auto update Munki software on Thursday","https://github.com/munki/munki/wiki/managedsoftwareupdate","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"munki","munkitools","management","A set of tools to manage software with an own repository.<br>See https://github.com/munki/munki for more details.<br><br>If you need to remove munki, please follow the instructions from: https://github.com/munki/munki/wiki/Removing-Munki","Munki tools","https://munkibuilds.org/","managed_installs","10.8","10.15.99",,,"RequireRestart","false",,,,,,,,,,,,,,,,,,,,,,,
"munki","Set_App_Default_User","management","This small script write the login name of the current user to the file “/usr/local/default_user_and_group.cfg” to change the owner of some new munki software, later. The script will be store in '/usr/local/sbin/setup_current_user_as_default_user_for_apps.sh‘.","Set App Default User",,"managed_installs","10.8","10.15.99",,"munki_munkitools",,"false",,,,,,,,,"Deinstallation waere aktuell nicht sauber.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_10_13_pkgs","gfortran","development","The GNU Fortran Compiler for macOS 10.13.","GNU Fortran Compiler","https://gcc.gnu.org/wiki/GFortranBinaries","optional_installs","10.13","10.13.99",,,,"false",,,,,,,,,"Software wird von Munki bei Deinstallation nicht gefunden. ",,,,,,,,,,,,,,
"standard_10_13_pkgs","GPG_Suite","security","Tools to using GPG on Apple Mail (and other programs).","GPG Suite","https://gpgtools.org","optional_installs","10.13","10.13.99",,,,,"1:installer_choice_1 1:installer_choice_2 1:installer_choice_3 0:installer_choice_4 0:installer_choice_5 1:installer_choice_6 1:installer_choice_7 1:installer_choice_8 1:installer_choice_9 1:installer_choice_10 1:installer_choice_11 1:installer_choice_12 1:installer_choice_13 1:installer_choice_14 1:installer_choice_15","org.gpgtools.gpgmail.pkg org.gpgtools.gpgmail12.pkg",,"gpgtools_uninstall.sh",,,,,,,,,,,,,,,,,,,
